strategy,level,tolerance,num files,nodes,num processes,num writer threads,ckpt size,avg ckpts time [s],max ckpt time [s],avg BW [GB/s],min BW [GB/s]
AGGREGATION,local,0,1,1,8,8,8589934592,0.512257,0.517341,15.6172,15.4637
AGGREGATION,total,0,1,1,8,8,8589934592,8.51431,8.51923,0.939594,0.939052
AGGREGATION,local,0,1,4,32,8,34359738368,0.511129,0.520559,62.6065,61.4724
AGGREGATION,total,0,1,4,32,8,34359738368,19.5515,27.3704,1.6367,1.16914
AGGREGATION,local,0,1,8,64,8,68719476736,0.511757,0.527034,125.059,121.434
AGGREGATION,total,0,1,8,64,8,68719476736,41.0347,51.2656,1.55966,1.2484
AGGREGATION,local,10,1,1,8,8,8589934595,0.509689,0.532404,15.6959,15.0262
AGGREGATION,total,10,1,1,8,8,8589934595,6.3783,6.42968,1.25425,1.24423
AGGREGATION,local,10,1,4,32,8,34359738359,90.7828,145.927,0.341474,0.212435
AGGREGATION,total,10,1,4,32,8,34359738359,76.3781,180.512,0.405876,0.171734
AGGREGATION,local,10,1,8,64,8,68719476687,103.77,139.258,0.607111,0.452399
AGGREGATION,total,10,1,8,64,8,68719476687,76.9095,188.737,0.819145,0.333798
AGGREGATION,local,20,1,1,8,8,8589934599,0.505925,0.544349,15.8126,14.6965
AGGREGATION,total,20,1,1,8,8,8589934599,6.56307,6.66008,1.21894,1.20119
AGGREGATION,local,20,1,4,32,8,34359738364,87.3354,146.557,0.354953,0.211523
AGGREGATION,total,20,1,4,32,8,34359738364,79.2482,178.096,0.391176,0.174064
AGGREGATION,local,20,1,8,64,8,68719476728,101.286,146.76,0.622002,0.429272
AGGREGATION,total,20,1,8,64,8,68719476728,87.3783,197.289,0.721002,0.319329
AGGREGATION,local,0,1,1,8,8,8589934592,0.507038,0.509615,15.7779,15.6981
AGGREGATION,total,0,1,1,8,8,8589934592,7.01945,7.02148,1.13969,1.13936
AGGREGATION,local,0,1,4,32,8,34359738368,90.2558,157.42,0.354548,0.203278
AGGREGATION,total,0,1,4,32,8,34359738368,87.7055,190.839,0.364857,0.167681
AGGREGATION,local,0,1,8,64,8,68719476736,106.272,156.371,0.602228,0.409283
AGGREGATION,total,0,1,8,64,8,68719476736,91.9848,208.785,0.695767,0.306535
AGGREGATION,local,10,1,1,8,8,8589934595,0.509083,0.532327,15.7145,15.0284
AGGREGATION,total,10,1,1,8,8,8589934595,7.44399,7.4938,1.07469,1.06755
AGGREGATION,local,10,1,4,32,8,34359738359,87.7368,147.124,0.35333,0.210707
AGGREGATION,total,10,1,4,32,8,34359738359,80.2851,181.709,0.386124,0.170603
AGGREGATION,local,10,1,8,64,8,68719476687,106.034,154.42,0.594148,0.407977
AGGREGATION,total,10,1,8,64,8,68719476687,89.9509,206.225,0.700382,0.305492
AGGREGATION,local,20,1,1,8,8,8589934599,0.510005,0.551179,15.6861,14.5143
AGGREGATION,total,20,1,1,8,8,8589934599,7.35461,7.4536,1.08775,1.07331
AGGREGATION,local,20,1,4,32,8,34359738364,87.4993,147.769,0.354289,0.209786
AGGREGATION,total,20,1,4,32,8,34359738364,79.0136,176.077,0.392337,0.17606
AGGREGATION,local,20,1,8,64,8,68719476728,102.132,144.508,0.616848,0.435961
AGGREGATION,total,20,1,8,64,8,68719476728,83.6267,194.191,0.753348,0.324422
AGGREGATION,local,0,1,1,8,8,8589934592,0.510648,0.513346,15.6664,15.584
AGGREGATION,total,0,1,1,8,8,8589934592,9.14389,9.14692,0.874902,0.874611
AGGREGATION,local,0,1,4,32,8,34359738368,89.5911,147.568,0.357178,0.21685
AGGREGATION,total,0,1,4,32,8,34359738368,78.6204,178.531,0.407019,0.179241
AGGREGATION,local,0,1,8,64,8,68719476736,107.813,156.053,0.593619,0.410118
AGGREGATION,total,0,1,8,64,8,68719476736,88.7076,204.792,0.721471,0.312512
AGGREGATION,local,10,1,1,8,8,8589934595,0.506731,0.528719,15.7875,15.1309
AGGREGATION,total,10,1,1,8,8,8589934595,7.08284,7.1311,1.12949,1.12185
AGGREGATION,local,10,1,4,32,8,34359738359,87.8173,157.239,0.353006,0.197152
AGGREGATION,total,10,1,4,32,8,34359738359,89.572,190.113,0.34609,0.163061
AGGREGATION,local,10,1,8,64,8,68719476687,101.099,151.721,0.623152,0.415237
AGGREGATION,total,10,1,8,64,8,68719476687,90.9915,202.39,0.692372,0.311281
AGGREGATION,local,20,1,1,8,8,8589934599,0.509906,0.551943,15.6892,14.4943
AGGREGATION,total,20,1,1,8,8,8589934599,7.90532,8.00604,1.01198,0.999246
AGGREGATION,local,20,1,4,32,8,34359738364,88.6997,144.473,0.349494,0.214573
AGGREGATION,total,20,1,4,32,8,34359738364,76.9124,179.315,0.403056,0.172881
AGGREGATION,local,20,1,8,64,8,68719476728,104.988,150.43,0.60007,0.418799
AGGREGATION,total,20,1,8,64,8,68719476728,86.5783,202.399,0.727665,0.311266
