strategy,level,tolerance,num files,nodes,num processes,num writer threads,ckpt size,avg ckpts time [s],max ckpt time [s],avg BW [GB/s],min BW [GB/s]
AGGR_THREAD_PER_FILE,local,0,1,8,64,8,68719476736,0.511938,0.520646,125.015,122.924
AGGR_THREAD_PER_FILE,total,0,1,8,64,8,68719476736,40.792,54.2724,1.56893,1.17924
AGGR_THREAD_PER_FILE,local,10,1,8,64,8,68719476687,101.298,157.247,0.621925,0.400645
AGGR_THREAD_PER_FILE,total,10,1,8,64,8,68719476687,97.1701,211.618,0.648348,0.297707
AGGR_THREAD_PER_FILE,local,20,1,8,64,8,68719476728,100.691,150.572,0.625677,0.418404
AGGR_THREAD_PER_FILE,total,20,1,8,64,8,68719476728,90.3019,199.798,0.697659,0.315319
AGGR_THREAD_PER_FILE,local,0,1,8,64,8,68719476736,107.526,145.897,0.595202,0.438666
AGGR_THREAD_PER_FILE,total,0,1,8,64,8,68719476736,76.6831,196.433,0.834603,0.325811
AGGR_THREAD_PER_FILE,local,10,1,8,64,8,68719476687,106.475,147.396,0.591686,0.427419
AGGR_THREAD_PER_FILE,total,10,1,8,64,8,68719476687,81.2861,197.306,0.77504,0.319301
AGGR_THREAD_PER_FILE,local,20,1,8,64,8,68719476728,100.3,159.678,0.628114,0.394543
AGGR_THREAD_PER_FILE,total,20,1,8,64,8,68719476728,99.8059,211.022,0.631226,0.298547
AGGR_THREAD_PER_FILE,local,0,1,8,64,8,68719476736,104.094,143.881,0.614829,0.444813
AGGR_THREAD_PER_FILE,total,0,1,8,64,8,68719476736,80.676,194.451,0.793296,0.329133
AGGR_THREAD_PER_FILE,local,10,1,8,64,8,68719476687,98.6579,156.899,0.63857,0.401533
AGGR_THREAD_PER_FILE,total,10,1,8,64,8,68719476687,99.8326,210.719,0.631056,0.298976
AGGR_THREAD_PER_FILE,local,20,1,8,64,8,68719476728,104.693,149.826,0.601759,0.420488
AGGR_THREAD_PER_FILE,total,20,1,8,64,8,68719476728,85.1129,202.562,0.740193,0.311017
AGGR_THREAD_PER_FILE,local,0,1,8,64,8,68719476736,0.508193,0.513633,125.936,124.603
AGGR_THREAD_PER_FILE,total,0,1,8,64,8,68719476736,43.4425,56.7971,1.47321,1.12682
AGGR_THREAD_PER_FILE,local,10,1,8,64,8,68719476687,97.5959,135.676,0.645519,0.464342
AGGR_THREAD_PER_FILE,total,10,1,8,64,8,68719476687,80.1629,186.722,0.7859,0.3374
AGGR_THREAD_PER_FILE,local,20,1,8,64,8,68719476728,95.6986,155.105,0.658317,0.406177
AGGR_THREAD_PER_FILE,total,20,1,8,64,8,68719476728,97.3047,202.242,0.647451,0.311508
AGGR_THREAD_PER_FILE,local,0,1,8,64,8,68719476736,102.554,152.111,0.624064,0.420747
AGGR_THREAD_PER_FILE,total,0,1,8,64,8,68719476736,89.4985,202.071,0.715096,0.31672
AGGR_THREAD_PER_FILE,local,10,1,8,64,8,68719476687,101.035,143.805,0.623545,0.438092
AGGR_THREAD_PER_FILE,total,10,1,8,64,8,68719476687,82.7657,193.776,0.761185,0.325118
ORIGINAL,local,0,64,8,64,64,68719476736,0.507714,0.512332,1.96961,124.919
ORIGINAL,total,0,64,8,64,64,68719476736,5.8795,7.35621,8.70013,8.70013
ORIGINAL,local,10,64,8,64,64,68719476687,95.2302,158.277,0.0103368,0.398037
ORIGINAL,total,10,64,8,64,64,68719476687,96.9049,159.641,0.394636,0.394636
ORIGINAL,local,20,64,8,64,64,68719476728,96.1884,151.655,0.0102338,0.415415
ORIGINAL,total,20,64,8,64,64,68719476728,97.7718,153.297,0.410966,0.410966
ORIGINAL,local,0,64,8,64,64,68719476736,102.498,143.508,0.00975628,0.445969
ORIGINAL,total,0,64,8,64,64,68719476736,104.138,144.844,0.441853,0.441853
ORIGINAL,local,10,64,8,64,64,68719476687,98.1275,147.026,0.0100316,0.428497
ORIGINAL,total,10,64,8,64,64,68719476687,99.7709,148.57,0.424043,0.424043
ORIGINAL,local,20,64,8,64,64,68719476728,97.0042,156.142,0.0101478,0.40348
ORIGINAL,total,20,64,8,64,64,68719476728,98.6166,157.601,0.399743,0.399743
ORIGINAL,local,0,64,8,64,64,68719476736,102.452,144.713,0.00976067,0.442256
ORIGINAL,total,0,64,8,64,64,68719476736,104.072,146.354,0.437295,0.437295
ORIGINAL,local,10,64,8,64,64,68719476687,92.3299,149.288,0.0106615,0.422002
ORIGINAL,total,10,64,8,64,64,68719476687,94.028,150.93,0.417413,0.417413
ORIGINAL,local,20,64,8,64,64,68719476728,97.2555,138.089,0.0101215,0.456227
ORIGINAL,total,20,64,8,64,64,68719476728,98.8007,139.402,0.451932,0.451932
AGGR_THREAD_PER_FILE,local,0,1,8,64,8,68719476736,101.639,145.954,0.629682,0.438495
AGGR_THREAD_PER_FILE,total,0,1,8,64,8,68719476736,84.7702,196.515,0.754982,0.325674
AGGR_THREAD_PER_FILE,local,10,1,8,64,8,68719476687,96.4371,142.067,0.653276,0.443454
AGGR_THREAD_PER_FILE,total,10,1,8,64,8,68719476687,86.8437,195.104,0.725442,0.322905
AGGR_THREAD_PER_FILE,local,20,1,8,64,8,68719476728,93.9412,137.259,0.670632,0.458986
AGGR_THREAD_PER_FILE,total,20,1,8,64,8,68719476728,81.2477,188.715,0.775407,0.333837
AGGR_THREAD_PER_FILE,local,0,1,8,64,8,68719476736,104.299,144.052,0.61362,0.444283
AGGR_THREAD_PER_FILE,total,0,1,8,64,8,68719476736,81.4268,196.085,0.785982,0.32639
AGGR_THREAD_PER_FILE,local,10,1,8,64,8,68719476687,102.165,149.398,0.616647,0.421692
AGGR_THREAD_PER_FILE,total,10,1,8,64,8,68719476687,87.7253,202.195,0.718151,0.31158
AGGR_THREAD_PER_FILE,local,20,1,8,64,8,68719476728,96.0157,153.665,0.656143,0.409982
AGGR_THREAD_PER_FILE,total,20,1,8,64,8,68719476728,97.212,204.593,0.648068,0.307928
AGGR_THREAD_PER_FILE,local,0,1,8,64,8,68719476736,105.043,151.474,0.609273,0.422516
AGGR_THREAD_PER_FILE,total,0,1,8,64,8,68719476736,87.9699,205.108,0.727522,0.312031
AGGR_THREAD_PER_FILE,local,10,1,8,64,8,68719476687,98.7677,143.527,0.63786,0.438943
AGGR_THREAD_PER_FILE,total,10,1,8,64,8,68719476687,85.1292,191.783,0.740052,0.328497
AGGR_THREAD_PER_FILE,local,20,1,8,64,8,68719476728,96.5069,144.324,0.652803,0.436517
AGGR_THREAD_PER_FILE,total,20,1,8,64,8,68719476728,88.6198,193.642,0.710902,0.325342
